,State,Year,Quater,Disrict,Reg_users
43919,vellore district,2018,4,vellore district,103405
43920,thiruvarur district,2018,4,thiruvarur district,31566
43921,tiruchirappalli district,2018,4,tiruchirappalli district,160006
43922,ramanathapuram district,2018,4,ramanathapuram district,40421
43923,krishnagiri district,2018,4,krishnagiri district,172743
43924,cuddalore district,2018,4,cuddalore district,114395
43925,kancheepuram district,2018,4,kancheepuram district,318007
43926,tiruppur district,2018,4,tiruppur district,227253
43927,dharmapuri district,2018,4,dharmapuri district,91253
43928,thoothukkudi district,2018,4,thoothukkudi district,67862
43929,thanjavur district,2018,4,thanjavur district,93638
43930,madurai district,2018,4,madurai district,183206
43931,tiruvannamalai district,2018,4,tiruvannamalai district,105024
43932,salem district,2018,4,salem district,215365
43933,nagapattinam district,2018,4,nagapattinam district,44023
43934,tirupathur district,2018,4,tirupathur district,65372
43935,ariyalur district,2018,4,ariyalur district,26505
43936,chennai district,2018,4,chennai district,689276
43937,the nilgiris district,2018,4,the nilgiris district,33617
43938,erode district,2018,4,erode district,132294
43939,karur district,2018,4,karur district,48725
43940,kallakkurichi district,2018,4,kallakkurichi district,59098
43941,viluppuram district,2018,4,viluppuram district,81637
43942,pudukkottai district,2018,4,pudukkottai district,44937
43943,perambalur district,2018,4,perambalur district,22429
43944,coimbatore district,2018,4,coimbatore district,415090
43945,virudhunagar district,2018,4,virudhunagar district,71704
43946,dindigul district,2018,4,dindigul district,90832
43947,sivaganga district,2018,4,sivaganga district,47194
43948,tenkasi district,2018,4,tenkasi district,41206
43949,chengalpattu district,2018,4,chengalpattu district,483785
43950,kanniyakumari district,2018,4,kanniyakumari district,72179
43951,tirunelveli district,2018,4,tirunelveli district,70740
43952,thiruvallur district,2018,4,thiruvallur district,514830
43953,theni district,2018,4,theni district,49911
43954,ranipet district,2018,4,ranipet district,75577
43955,namakkal district,2018,4,namakkal district,94773
43956,vellore district,2018,4,vellore district,103405
43957,thiruvarur district,2018,4,thiruvarur district,31566
43958,tiruchirappalli district,2018,4,tiruchirappalli district,160006
43959,ramanathapuram district,2018,4,ramanathapuram district,40421
43960,krishnagiri district,2018,4,krishnagiri district,172743
43961,cuddalore district,2018,4,cuddalore district,114395
43962,kancheepuram district,2018,4,kancheepuram district,318007
43963,tiruppur district,2018,4,tiruppur district,227253
43964,dharmapuri district,2018,4,dharmapuri district,91253
43965,thoothukkudi district,2018,4,thoothukkudi district,67862
43966,thanjavur district,2018,4,thanjavur district,93638
43967,madurai district,2018,4,madurai district,183206
43968,tiruvannamalai district,2018,4,tiruvannamalai district,105024
43969,salem district,2018,4,salem district,215365
43970,nagapattinam district,2018,4,nagapattinam district,44023
43971,tirupathur district,2018,4,tirupathur district,65372
43972,ariyalur district,2018,4,ariyalur district,26505
43973,chennai district,2018,4,chennai district,689276
43974,the nilgiris district,2018,4,the nilgiris district,33617
43975,erode district,2018,4,erode district,132294
43976,karur district,2018,4,karur district,48725
43977,kallakkurichi district,2018,4,kallakkurichi district,59098
43978,viluppuram district,2018,4,viluppuram district,81637
43979,pudukkottai district,2018,4,pudukkottai district,44937
43980,perambalur district,2018,4,perambalur district,22429
43981,coimbatore district,2018,4,coimbatore district,415090
43982,virudhunagar district,2018,4,virudhunagar district,71704
43983,dindigul district,2018,4,dindigul district,90832
43984,sivaganga district,2018,4,sivaganga district,47194
43985,tenkasi district,2018,4,tenkasi district,41206
43986,chengalpattu district,2018,4,chengalpattu district,483785
43987,kanniyakumari district,2018,4,kanniyakumari district,72179
43988,tirunelveli district,2018,4,tirunelveli district,70740
43989,thiruvallur district,2018,4,thiruvallur district,514830
43990,theni district,2018,4,theni district,49911
43991,ranipet district,2018,4,ranipet district,75577
43992,namakkal district,2018,4,namakkal district,94773
43993,vellore district,2018,4,vellore district,103405
43994,thiruvarur district,2018,4,thiruvarur district,31566
43995,tiruchirappalli district,2018,4,tiruchirappalli district,160006
43996,ramanathapuram district,2018,4,ramanathapuram district,40421
43997,krishnagiri district,2018,4,krishnagiri district,172743
43998,cuddalore district,2018,4,cuddalore district,114395
43999,kancheepuram district,2018,4,kancheepuram district,318007
44000,tiruppur district,2018,4,tiruppur district,227253
44001,dharmapuri district,2018,4,dharmapuri district,91253
44002,thoothukkudi district,2018,4,thoothukkudi district,67862
44003,thanjavur district,2018,4,thanjavur district,93638
44004,madurai district,2018,4,madurai district,183206
44005,tiruvannamalai district,2018,4,tiruvannamalai district,105024
44006,salem district,2018,4,salem district,215365
44007,nagapattinam district,2018,4,nagapattinam district,44023
44008,tirupathur district,2018,4,tirupathur district,65372
44009,ariyalur district,2018,4,ariyalur district,26505
44010,chennai district,2018,4,chennai district,689276
44011,the nilgiris district,2018,4,the nilgiris district,33617
44012,erode district,2018,4,erode district,132294
44013,karur district,2018,4,karur district,48725
44014,kallakkurichi district,2018,4,kallakkurichi district,59098
44015,viluppuram district,2018,4,viluppuram district,81637
44016,pudukkottai district,2018,4,pudukkottai district,44937
44017,perambalur district,2018,4,perambalur district,22429
44018,coimbatore district,2018,4,coimbatore district,415090
44019,virudhunagar district,2018,4,virudhunagar district,71704
44020,dindigul district,2018,4,dindigul district,90832
44021,sivaganga district,2018,4,sivaganga district,47194
44022,tenkasi district,2018,4,tenkasi district,41206
44023,chengalpattu district,2018,4,chengalpattu district,483785
44024,kanniyakumari district,2018,4,kanniyakumari district,72179
44025,tirunelveli district,2018,4,tirunelveli district,70740
44026,thiruvallur district,2018,4,thiruvallur district,514830
44027,theni district,2018,4,theni district,49911
44028,ranipet district,2018,4,ranipet district,75577
44029,namakkal district,2018,4,namakkal district,94773
44030,vellore district,2018,4,vellore district,103405
44031,thiruvarur district,2018,4,thiruvarur district,31566
44032,tiruchirappalli district,2019,1,tiruchirappalli district,193798
44033,ramanathapuram district,2019,1,ramanathapuram district,49864
44034,krishnagiri district,2019,1,krishnagiri district,212859
44035,cuddalore district,2019,1,cuddalore district,138966
44036,kancheepuram district,2019,1,kancheepuram district,385091
44037,tiruppur district,2019,1,tiruppur district,273869
44038,dharmapuri district,2019,1,dharmapuri district,111273
44039,thoothukkudi district,2019,1,thoothukkudi district,82778
44040,thanjavur district,2019,1,thanjavur district,113549
44041,madurai district,2019,1,madurai district,224783
44042,tiruvannamalai district,2019,1,tiruvannamalai district,129411
44043,salem district,2019,1,salem district,257624
44044,nagapattinam district,2019,1,nagapattinam district,54318
44045,tirupathur district,2019,1,tirupathur district,81010
44046,ariyalur district,2019,1,ariyalur district,32852
44047,chennai district,2019,1,chennai district,830586
44048,the nilgiris district,2019,1,the nilgiris district,41312
44049,erode district,2019,1,erode district,157469
44050,karur district,2019,1,karur district,58673
44051,kallakkurichi district,2019,1,kallakkurichi district,73253
44052,viluppuram district,2019,1,viluppuram district,100564
44053,pudukkottai district,2019,1,pudukkottai district,55252
44054,perambalur district,2019,1,perambalur district,27434
44055,coimbatore district,2019,1,coimbatore district,495350
44056,virudhunagar district,2019,1,virudhunagar district,87060
44057,dindigul district,2019,1,dindigul district,109937
44058,sivaganga district,2019,1,sivaganga district,57822
44059,tenkasi district,2019,1,tenkasi district,50065
44060,chengalpattu district,2019,1,chengalpattu district,578045
44061,kanniyakumari district,2019,1,kanniyakumari district,87667
44062,tirunelveli district,2019,1,tirunelveli district,85506
44063,thiruvallur district,2019,1,thiruvallur district,625908
44064,theni district,2019,1,theni district,60522
44065,ranipet district,2019,1,ranipet district,93392
44066,namakkal district,2019,1,namakkal district,112549
44067,vellore district,2019,1,vellore district,126690
44068,thiruvarur district,2019,1,thiruvarur district,39202
44069,tiruchirappalli district,2019,1,tiruchirappalli district,193798
44070,ramanathapuram district,2019,1,ramanathapuram district,49864
44071,krishnagiri district,2019,1,krishnagiri district,212859
44072,cuddalore district,2019,1,cuddalore district,138966
44073,kancheepuram district,2019,1,kancheepuram district,385091
44074,tiruppur district,2019,1,tiruppur district,273869
44075,dharmapuri district,2019,1,dharmapuri district,111273
44076,thoothukkudi district,2019,1,thoothukkudi district,82778
44077,thanjavur district,2019,1,thanjavur district,113549
44078,madurai district,2019,1,madurai district,224783
44079,tiruvannamalai district,2019,1,tiruvannamalai district,129411
44080,salem district,2019,1,salem district,257624
44081,nagapattinam district,2019,1,nagapattinam district,54318
44082,tirupathur district,2019,1,tirupathur district,81010
44083,ariyalur district,2019,1,ariyalur district,32852
44084,chennai district,2019,1,chennai district,830586
44085,the nilgiris district,2019,1,the nilgiris district,41312
44086,erode district,2019,1,erode district,157469
44087,karur district,2019,1,karur district,58673
44088,kallakkurichi district,2019,1,kallakkurichi district,73253
44089,viluppuram district,2019,1,viluppuram district,100564
44090,pudukkottai district,2019,1,pudukkottai district,55252
44091,perambalur district,2019,1,perambalur district,27434
44092,coimbatore district,2019,1,coimbatore district,495350
44093,virudhunagar district,2019,1,virudhunagar district,87060
44094,dindigul district,2019,1,dindigul district,109937
44095,sivaganga district,2019,1,sivaganga district,57822
44096,tenkasi district,2019,1,tenkasi district,50065
44097,chengalpattu district,2019,1,chengalpattu district,578045
44098,kanniyakumari district,2019,1,kanniyakumari district,87667
44099,tirunelveli district,2019,1,tirunelveli district,85506
44100,thiruvallur district,2019,1,thiruvallur district,625908
44101,theni district,2019,1,theni district,60522
